                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6408,                 1.9921,                 1.3523,                0.91842,                0.65957,                0.80312,                0.38783,                 1.7382,                 1.2741,                 1.6556,             0.00066061,             0.00066061,             0.00066061
                      2,                 1.6235,                 1.1616,                  1.394,                0.57448,                0.68085,                0.61711,                0.33343,                 1.5395,                 1.8373,                 1.4975,               0.001301,               0.001301,               0.001301
                      3,                 1.6086,                 1.0865,                 1.4022,                0.91929,                0.78765,                 0.8777,                0.48279,                 1.5698,                 1.2173,                 1.5014,               0.001915,               0.001915,               0.001915
                      4,                 1.5968,                 1.0769,                 1.3984,                0.85628,                0.80851,                0.82525,                0.41236,                 1.7422,                 1.1364,                 1.6557,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5583,                 1.0097,                 1.3816,                0.91421,                 0.8883,                0.93642,                 0.5477,                 1.4984,                0.86923,                 1.4569,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.5129,                0.94351,                 1.3545,                0.88752,                0.88138,                0.92461,                0.50119,                 1.5462,                0.95085,                 1.4885,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4633,                0.89479,                  1.331,                   0.94,                0.88298,                 0.9545,                0.53876,                 1.4849,                0.79869,                 1.4372,               0.001802,               0.001802,               0.001802
                      8,                 1.4199,                 0.8463,                 1.2867,                0.89863,                0.90426,                0.94333,                0.56019,                 1.4387,                0.83765,                 1.4343,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3984,                0.82923,                  1.282,                0.94609,                 0.8617,                0.95506,                0.57182,                 1.3553,                0.86756,                 1.3435,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3818,                0.80481,                 1.2712,                0.90363,                 0.8617,                0.95091,                0.51841,                 1.5188,                0.85189,                 1.4463,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3715,                0.78481,                 1.2692,                0.92311,                0.89403,                0.95753,                 0.5538,                  1.436,                0.76312,                 1.3707,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.3237,                0.75936,                 1.2349,                0.91587,                0.92649,                0.96167,                0.58982,                 1.3965,                0.72486,                 1.3407,               0.001604,               0.001604,               0.001604
                     13,                 1.3221,                0.74802,                 1.2329,                0.91764,                0.94149,                0.96619,                0.57675,                 1.4002,                0.72855,                 1.3492,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2877,                0.70726,                 1.2084,                0.94381,                0.89348,                0.94872,                0.58113,                 1.4297,                0.70392,                 1.3828,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2564,                0.71037,                 1.2034,                0.96266,                0.95984,                0.98325,                0.62602,                 1.3057,                0.64221,                 1.2854,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2413,                0.67893,                 1.1857,                0.97604,                0.94149,                0.98531,                0.65424,                 1.2553,                0.58859,                 1.2545,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2189,                0.67798,                 1.1881,                0.97267,                0.94669,                0.98384,                0.59656,                 1.4149,                0.63124,                 1.3654,               0.001406,               0.001406,               0.001406
                     18,                  1.221,                0.66827,                 1.1883,                0.96086,                0.95213,                0.98028,                0.64634,                 1.3006,                0.59337,                 1.2846,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2018,                0.65981,                 1.1679,                0.97249,                0.94011,                0.98048,                0.62598,                 1.3237,                0.62819,                  1.315,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1672,                0.62271,                  1.141,                0.95651,                0.96809,                0.97287,                0.64029,                 1.2614,                0.56721,                  1.263,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1637,                0.63128,                 1.1498,                0.96089,                 0.9734,                0.98664,                0.64507,                 1.3014,                0.58136,                 1.2578,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.154,                0.61214,                 1.1429,                0.96902,                0.96277,                0.98605,                0.66395,                 1.2367,                0.56946,                 1.2361,               0.001208,               0.001208,               0.001208
                     23,                  1.134,                0.61074,                 1.1369,                0.95906,                 0.9734,                0.98999,                0.64853,                 1.2693,                0.57592,                 1.2647,              0.0011684,              0.0011684,              0.0011684
