                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.727,                 3.4915,                 1.5489,                0.55014,                0.64948,                0.58222,                0.30142,                 1.4952,                 2.2571,                 1.4812,             0.00065306,             0.00065306,             0.00065306
                      2,                  1.624,                 1.4687,                 1.4682,                0.40852,                0.41299,                0.37168,                0.21055,                  1.986,                  2.997,                 1.9361,              0.0013067,              0.0013067,              0.0013067
                      3,                 1.6638,                 1.4818,                 1.5216,                0.06426,                0.54639,                0.04556,                 0.0248,                 1.7621,                 11.768,                 1.8956,              0.0019471,              0.0019471,              0.0019471
                      4,                 1.5822,                 1.3002,                 1.4705,                0.62904,                0.70103,                0.62114,                0.34197,                 1.5179,                 4.3407,                 1.6472,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5864,                 1.2262,                 1.4926,                0.74152,                0.79853,                0.78474,                0.43305,                 1.5519,                 1.4944,                 1.5586,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5086,                 1.1247,                 1.4137,                0.82172,                0.80781,                0.79335,                0.43032,                 1.5587,                 1.4004,                 1.6254,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4941,                 1.1174,                 1.4192,                0.90605,                0.91753,                0.94076,                0.55748,                 1.3947,                0.89797,                 1.4281,               0.001901,               0.001901,               0.001901
                      8,                  1.455,                 1.0661,                 1.3977,                 0.8717,                0.80412,                0.84972,                 0.4941,                 1.4868,                 1.2754,                 1.4666,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4369,                 1.0131,                  1.373,                0.90504,                0.88435,                0.90624,                0.57005,                 1.3167,                 0.9038,                 1.3279,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4006,                0.98104,                 1.3272,                0.71895,                0.74227,                0.79554,                 0.4702,                 1.3791,                 1.6918,                 1.3947,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3568,                0.92794,                 1.3219,                0.94474,                0.88132,                0.94875,                0.57024,                 1.3789,                0.75089,                  1.408,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3256,                0.92532,                 1.3094,                0.91644,                0.84536,                0.93017,                 0.6092,                 1.2914,                0.90064,                 1.3055,               0.001802,               0.001802,               0.001802
                     13,                 1.2818,                0.90204,                 1.2751,                0.92658,                0.91073,                0.96719,                0.60804,                 1.3165,                0.77814,                 1.3063,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2639,                0.83081,                 1.2596,                0.88254,                0.90722,                0.93864,                0.57271,                 1.3909,                0.73213,                 1.3741,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2658,                0.84182,                 1.2618,                0.90075,                0.93567,                0.94611,                0.57571,                 1.4191,                0.84459,                 1.4173,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2789,                0.84224,                 1.2888,                0.94927,                0.91753,                 0.9758,                0.61088,                 1.3132,                0.77471,                 1.3142,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2514,                0.82955,                 1.2498,                0.93864,                0.93814,                0.96709,                 0.6088,                 1.3468,                0.72089,                 1.3569,               0.001703,               0.001703,               0.001703
                     18,                 1.2245,                0.80708,                 1.2544,                0.95294,                0.96907,                0.97001,                0.60772,                 1.3318,                0.65956,                 1.3442,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2146,                0.81514,                 1.2675,                0.93816,                0.95876,                0.97635,                0.61547,                 1.2517,                0.63858,                 1.2602,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2488,                0.78321,                 1.2501,                0.94121,                0.93814,                0.96694,                0.63223,                 1.2604,                 0.7561,                 1.2971,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.184,                0.78387,                 1.2216,                0.97816,                0.92345,                 0.9681,                0.63966,                  1.245,                0.69141,                  1.284,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1622,                0.75887,                 1.2029,                0.97911,                0.96641,                0.99028,                0.63612,                 1.2426,                0.58991,                 1.2583,               0.001604,               0.001604,               0.001604
                     23,                 1.1808,                0.75548,                 1.2126,                0.97773,                0.90539,                0.98371,                0.61061,                 1.3451,                 0.6255,                 1.3021,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1299,                0.72333,                 1.1942,                0.95738,                0.92633,                0.96505,                0.64296,                 1.2622,                0.68051,                 1.2688,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1506,                 0.7213,                 1.2004,                0.93165,                0.98371,                 0.9798,                0.62593,                 1.2782,                0.58046,                 1.2801,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1266,                0.70823,                 1.1954,                0.97908,                0.96489,                 0.9884,                0.60166,                 1.3466,                0.59237,                 1.3167,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1045,                0.70618,                 1.1689,                0.93282,                0.92784,                0.97823,                0.61201,                  1.267,                0.73903,                 1.2739,               0.001505,               0.001505,               0.001505
                     28,                 1.0294,                0.67068,                  1.146,                0.97861,                 0.9433,                0.97842,                0.64453,                 1.2269,                0.57397,                 1.2683,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0669,                0.68075,                  1.151,                0.96692,                0.96907,                  0.978,                0.63859,                  1.213,                0.59102,                 1.2513,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0724,                0.66635,                 1.1558,                 0.9397,                0.96392,                0.97916,                0.63609,                 1.2704,                0.59227,                 1.2749,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0634,                0.66259,                  1.149,                0.95299,                0.96907,                0.98533,                0.66145,                 1.2479,                0.57592,                 1.2881,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0587,                0.65585,                 1.1482,                0.95531,                0.95876,                0.96678,                0.65032,                 1.2493,                0.56825,                 1.2617,               0.001406,               0.001406,               0.001406
                     33,                 1.0532,                0.64105,                 1.1343,                0.96895,                0.96527,                0.97667,                0.66125,                 1.1877,                0.55602,                 1.2226,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0231,                0.64101,                 1.1373,                0.93137,                0.95876,                0.98168,                0.65644,                 1.2386,                0.64927,                 1.2666,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0132,                0.62024,                 1.1066,                0.98944,                0.96613,                0.98409,                0.65592,                 1.2211,                0.53916,                 1.2511,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0066,                0.63139,                 1.1303,                0.98701,                0.96907,                0.98494,                0.67012,                 1.1685,                0.55034,                 1.1828,              0.0013268,              0.0013268,              0.0013268
                     37,                0.99619,                0.61841,                 1.1248,                0.95892,                0.96249,                  0.974,                0.65853,                  1.218,                 0.5309,                 1.2332,               0.001307,               0.001307,               0.001307
                     38,                0.97663,                0.59692,                 1.1213,                0.97417,                0.96907,                0.97553,                0.67727,                 1.2006,                0.53967,                 1.2347,              0.0012872,              0.0012872,              0.0012872
                     39,                0.99862,                0.62379,                 1.1314,                0.98212,                0.96907,                0.97726,                0.65671,                  1.175,                0.52392,                 1.2291,              0.0012674,              0.0012674,              0.0012674
                     40,                0.94577,                0.57528,                 1.0852,                0.97181,                0.95876,                0.98856,                0.65788,                 1.2475,                0.52745,                 1.2951,              0.0012476,              0.0012476,              0.0012476
                     41,                  0.968,                   0.59,                 1.1073,                0.97786,                0.97938,                0.98658,                0.64622,                  1.254,                0.51663,                 1.2743,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.9527,                0.59043,                 1.0983,                0.97442,                0.96907,                0.98568,                0.68651,                 1.1279,                0.53625,                 1.1854,               0.001208,               0.001208,               0.001208
                     43,                0.95807,                0.58844,                 1.1019,                0.98324,                0.95876,                0.99087,                0.67007,                 1.1779,                0.56077,                 1.2253,              0.0011882,              0.0011882,              0.0011882
                     44,                0.96095,                0.57703,                  1.096,                0.94042,                0.97641,                0.98676,                0.67855,                 1.1689,                0.53892,                 1.2326,              0.0011684,              0.0011684,              0.0011684
                     45,                0.93194,                0.56771,                 1.0797,                0.97719,                0.95876,                0.98056,                0.66827,                 1.1791,                0.55189,                 1.2427,              0.0011486,              0.0011486,              0.0011486
                     46,                0.88134,                0.53573,                 1.0586,                0.96963,                0.96907,                0.98312,                0.70861,                  1.132,                0.49351,                 1.1931,              0.0011288,              0.0011288,              0.0011288
                     47,                0.88857,                0.54403,                 1.0566,                 0.9785,                0.96907,                0.99024,                0.70157,                 1.1931,                0.51204,                 1.2308,               0.001109,               0.001109,               0.001109
                     48,                0.84213,                0.50884,                 1.0273,                0.96399,                0.97938,                0.98658,                0.70099,                 1.1333,                0.52423,                 1.2014,              0.0010892,              0.0010892,              0.0010892
                     49,                0.87324,                0.53496,                 1.0557,                0.96807,                0.97938,                 0.9867,                0.67955,                 1.1739,                0.51423,                 1.2258,              0.0010694,              0.0010694,              0.0010694
                     50,                0.85169,                0.53207,                 1.0354,                0.97915,                0.96811,                0.98217,                0.68745,                 1.1835,                0.50022,                 1.2427,              0.0010496,              0.0010496,              0.0010496
                     51,                0.88675,                0.54091,                 1.0612,                0.98941,                0.96352,                0.99172,                 0.6608,                 1.2249,                0.50653,                 1.2532,              0.0010298,              0.0010298,              0.0010298
                     52,                0.89289,                0.55541,                 1.0716,                0.97933,                0.97671,                 0.9885,                0.67197,                 1.2155,                0.49738,                 1.2426,                0.00101,                0.00101,                0.00101
                     53,                0.87855,                 0.5509,                  1.064,                0.97912,                0.96703,                0.97847,                0.68456,                 1.2021,                0.50405,                 1.2448,              0.0009902,              0.0009902,              0.0009902
                     54,                0.85397,                0.52814,                 1.0411,                0.94907,                0.96061,                0.98435,                0.67897,                 1.1482,                0.52064,                 1.2151,              0.0009704,              0.0009704,              0.0009704
                     55,                0.83038,                 0.5007,                 1.0286,                0.96641,                0.94845,                0.98256,                0.69079,                 1.1622,                0.50604,                 1.2426,              0.0009506,              0.0009506,              0.0009506
                     56,                0.81315,                0.49747,                 1.0267,                0.96937,                0.97889,                0.98784,                0.69646,                 1.1607,                0.47378,                 1.2153,              0.0009308,              0.0009308,              0.0009308
                     57,                0.80335,                0.49439,                 1.0242,                0.96968,                0.98905,                0.99016,                 0.6952,                 1.1735,                0.49021,                 1.2184,               0.000911,               0.000911,               0.000911
                     58,                0.79592,                0.48473,                 1.0166,                0.97543,                0.97938,                0.98559,                0.69334,                 1.1316,                  0.466,                 1.2013,              0.0008912,              0.0008912,              0.0008912
                     59,                0.79174,                 0.4953,                 1.0266,                0.98969,                0.98923,                 0.9832,                 0.6874,                 1.1165,                0.45895,                 1.1933,              0.0008714,              0.0008714,              0.0008714
                     60,                0.78535,                0.46748,                  1.001,                0.98806,                0.97938,                0.99025,                0.69986,                 1.1282,                0.46418,                 1.2082,              0.0008516,              0.0008516,              0.0008516
                     61,                0.78602,                0.47709,                 1.0094,                0.96888,                0.96307,                0.98165,                0.70405,                 1.1131,                0.48145,                 1.1975,              0.0008318,              0.0008318,              0.0008318
                     62,                0.77157,                0.46452,                  1.002,                0.97935,                0.97803,                0.98382,                 0.7057,                 1.1666,                 0.4882,                 1.2441,               0.000812,               0.000812,               0.000812
                     63,                0.76841,                0.47201,                 1.0026,                0.96526,                0.96907,                0.97532,                0.70018,                 1.2122,                0.52712,                 1.2614,              0.0007922,              0.0007922,              0.0007922
                     64,                0.75928,                0.47293,                0.99331,                0.98864,                0.98969,                0.98672,                    0.7,                 1.1476,                0.47929,                 1.2188,              0.0007724,              0.0007724,              0.0007724
                     65,                0.79537,                0.47923,                 1.0079,                0.96704,                0.98969,                0.99074,                 0.7103,                 1.1248,                0.48498,                 1.2205,              0.0007526,              0.0007526,              0.0007526
                     66,                0.77136,                0.45883,                  1.007,                0.98523,                0.97938,                0.98797,                0.71648,                  1.146,                0.46799,                 1.2106,              0.0007328,              0.0007328,              0.0007328
                     67,                0.72853,                  0.452,                0.98878,                0.97934,                0.97741,                0.98381,                0.68496,                 1.1576,                0.47663,                 1.2292,               0.000713,               0.000713,               0.000713
